id_documento;nome_documento;tipo_documento
40;Getúlio e Roosevelt;Ilustração
41;Trecho de “Brás, Bexiga e Barra Funda”;Texto literário
42;O português macarrônico de Juó Bananère;Explanação
43;Charge sobre a Questão Christie;Charge
44;Lugares malditos: a cidade do ‘outro’ no Sul brasileiro;Artigo acadêmico
45;A Belle Époque em Fortaleza: remodelação e controle;Artigo acadêmico
46;Navegação a vapor do Rio Amazonas;Relatório
47;Carta do Brasil (1549);Carta
48;O Brasil no Atlântico Sul;Artigo de revista
49;"Trecho de ""O trato dos viventes""";Documento/Livro
50;Conselho Ultramarino;Representação legal
51;Quadrinha de 1824;Quadrinha
52;Texto de Antonio Vieira (1694);Documento
53;Texto de Domingos Jorge Velho;Documento
54;Guerrilha do Beijo;Artigo de revista
55;Nação e Civilização nos Trópicos;Artigo acadêmico
56;A paternidade do passado;Artigo acadêmico
57;Dom Pedro aclamado após a proclamação da Independência;Pintura histórica
58;Independência ou Morte (O grito do Ipiranga);Pintura histórica
59;Fala do Trono;Discurso
60;Fala do Trono - Texto completo;Discurso
61;Luzia;Artigo acadêmico
62;Liberdade não é de graça;Entrevista
63;Da solidariedade à assistência;Artigo acadêmico
64;Maldita Guerra;Livro
65;A morte de Solano Lopez (Versão Livro);Livro
66;Cultura brasileira nesse fim de século;Artigo acadêmico
67;Divertimento Admirável;Documento
68;Emílio Goeldi - A Aventura de um Naturalista;Livro
69;Carta Circular de Emílio Goeldi;Livro/Documento
70;Estampa de espécies de aves amazônicas;Livro/Imagem
71;Abaixo o João Bobão;Artigo acadêmico
72;Cronologia de motins e rebeliões;Cronologia
73;Cantores do rádio;Livro
74;Sugestões de leitura - Alcir Lenharo;Livro
75;Recife: espelhos do passado e labirintos do presente;Capítulo de livro
76;Guerra dos Farrapos;Artigo acadêmico
77;Os excluídos;Livro
78;Em 2008, bancos tiveram mais ajuda do que países pobres em 50 anos;Artigo de jornal
79;Revista O Cruzeiro, 1949, sobre futebol;Trecho de artigo de revista
80;Trecho de crônica de Nelson Rodrigues sobre futebol;Trecho de crônica
81;Mapa Brasilia et Peruvia (1593);Mapa
82;Uma cama para o Ouvidor;Artigo de revista
83;Carnaval é uma festa democrática;Charge
84;Pra que discutir com Madame;Letra de música
85;Coleção de frases de e sobre Fernando Collor, dezembro de 1990;Trecho de revista
86;Casamento integralista;Fotografia
87;Analfabetismo, crônica de Machado de Assis (1876);Crônica
88;A condição feminina no Rio de Janeiro no século XIX;Relato de viajante
89;Suicídio de Getúlio;Artigo de revista
90;Adoração dos Magos;Pintura
91;O Inferno;Pintura
92;Trecho de “A danação do objeto – o museu no ensino de história”;Trecho de livro acadêmico
93;Aviso ao povo bahiense;Cartaz
94;Trecho de “Índio sabe a receita”;Trecho de artigo de revista
95;Escravidão ou morte;Gravura
96;Angelo Agostini – dados biográficos;Breve biografia
97;Tiradentes — o amigo da liberdade;Trecho de texto de jornal
98;História do Brasil por Frei Vicente do Salvador;Trecho de livro
99;Propaganda dos cigarros “Fascista”;Propaganda
100;A civilização;Gravura
101;Depoimento de Dona Alice;Depoimento
102;Depoimento de Sr. Ariosto;Depoimento
103;Depoimento de Dona Brites;Depoimento
104;Depoimento de Sr. Antonio;Depoimento
105;Links sobre história oral;Links
106;Fragmento da transcrição da fala do ex-ministro Magalhães Pinto;Transcrição de áudio
107;Lenço no Pescoço;Letra de música
108;Rapaz Folgado;Letra de música
109;Trecho de entrevista de Elias Calixto;Trecho de entrevista
110;Mobilizar Grandes Massas – para defender a paz;Artigo de revista
111;Fios árabes, tecido brasileiro;Trecho de artigo de revista
112;“Turco é a mãe!”;Trecho de romance
113;Fogo Morto;Trecho de romance
114;Mulheres na colônia;Trecho de carta
115;Igreja do Rosário, Embu;Fotografia
116;Povoamento das Américas;Trecho de artigo acadêmico
117;Mensagem de Arthur da Silva Bernardes;Discurso presidencial
118;Mensagem de Juscelino Kubitschek de Oliveira;Discurso presidencial
119;Links para as Constituições Federais;Links
120;Palmares;Trechos de artigos e declarações
121;Introdução a uma história indígena;Texto acadêmico
122;Tupi do Cuminapanema: eles se chamam Zo’é;Texto acadêmico
123;Febre amarela;Gravura publicada em jornal
124;Carne sem osso, farinha sem caroço;Artigo de revista
125;Caipira Picando Fumo;Pintura
126;Cabral e Vespúcio;Trecho de texto acadêmico
127;Reminiscências de viagens e permanência no Brasil;Relato de viajante
128;Naufragios y Comentários;Relato de viajante
129;D. Pedro II e o exército;Trecho de livro
130;Paisagem com Plantação (O Engenho);Pintura
131;Estúdio fotográfico do italiano Oreste Cilento, em São Paulo;Fotografia
132;Charges de Henfil;Charges
133;Revogação de carta de alforria;Documento legal
134;Amor à terra?;Trecho de artigo de revista
135;Manifesto Republicano;Manifesto político
136;Errantes do novo século;Trecho de livro
137;Messianismo no Brasil;Trecho de livro
138;Engenheiro Rudolf Oscar Kesserling e índio da tribo Caripuna;Fotografia
139;Gazeta do Rio de Janeiro;Jornal impresso
140;Lei de Terras de 1850;Documento legal
141;Eclipse total do sol;Discurso presidencial
142;Propaganda de eletrodomésticos;Propaganda
143;Versão 1 da canção Lili Marlene;Letra de música
144;Versão 2 da canção de Lili Marlene;Letra de música
145;Chronica do descubrimento do Brazil;Artigo de jornal
146;Apesar de vocês;Trecho de livro
147;Sermão de Vieira;Sermão
148;Segredos internos;Trecho de livro
149;Ex-voto – Taunay;Pintura
150;Ex-voto – anônimo;Pintura
151;História dos fatos recentemente praticados...;Relato de viajante
152;Festas do Brasil Colonial;Trecho de livro
153;Carta a Joaquim Nabuco;Carta
154;Mundos do Trabalho;tipo não informado
155;Artigo: Revista Tempo, Voto de Cabresto;Artigo
156;O Cortiço (Artigo de Lilian Fessler Vaz);Artigo de revista
157;O Brasil antes dos brasileiros;tipo não informado
158;"O Malho, ""Café Predileto"", 1952";Propaganda
159;Trecho inicial da canção Cidadão [1978];Letra de música
160;Obras da Rodovia Acre-Brasília, 1960;Fotografia
161;Iracema uma Transa Amazônica, 1976;Fotografia
162;Fragmentos Setecentistas – escravidão, cultura e poder;tipo não informado
163;O Mequetrefe;Gravura
164;GPS à moda antiga;Artigo de Revista
165;Regimento de Tomé de Souza, 1548;Documento legal
166;A voz do passado – História oral;Trecho de Livro Acadêmico
167;O que faremos de nossas filhas?;Trecho de Jornal
168;De meninas fiandeiras a mulheres operárias;Trecho de Tese Acadêmica
169;Segunda classe - Tarsila do Amaral (1933);Pintura
170;Morte e Vida Severina (1955);Trecho de Auto de Natal
171;Jardim Botânico no Pará;Trecho de Carta
172;De onde vem o mito;Trecho de Artigo de Revista
173;Primeira Bandeira da República;Bandeira
174;Freyre e os Ingleses;Trecho de Livro Acadêmico
175;Novembrada;Fotografia
176;"Seção de esporte da Revista ""A Vida Moderna""";Revista
177;Ford na Amazônia;Depoimentos
178;Cemitério em Salvador (A morte é uma festa);Documento Legal
179;Fernão Cardim, Tratado da Terra e Gente do Brasil;Documento/Relato
180;Fernão Cardim (Biografia);Biografia
181;Carta da Terra;Trecho de Carta
182;Cenários divinos de Mestre Ataíde;Trecho de Jornal
183;O Pasquim - Campanha pela Anistia;Charge
184;Carta Anônima: Movimento Integralista;Trecho de Carta
185;Brigue Palhaço;Trecho de Artigo Acadêmico
186;Brasília, Sinfonia da Alvorada;Trecho de Letra de Música
187;Imagem I, II e III - Igreja da Ordem Terceira de São Francisco;Fotografias
188;Os delírios da razão;Trecho de Livro Acadêmico
189;"Diário do hospício; o cemitério dos vivos de Lima Barreto";Trecho de Livro
190;Transcrição da Carta Testamento de Getúlio Vargas;Documento
191;A formação histórico-etnográfica do povo rio-grandense;Pintura Mural
192;Escola para negros e pardos;Documentos Legais
193;Quilombo de Quariterê;Trecho de Livro Acadêmico
194;Mulheres e exílio;Depoimento
195;Acidente de Trabalho de Eugênio de Proença Sigaud, 1944;Pintura
196;Massacre de Uruaçu;Trecho de Carta
197;Ilha das Flores;Trecho de Roteiro de filme
198;Grafite no muro;Grafite
199;Carta do Padre Antonio Vieira, 1626;Carta
200;Poder Moderador;Documento legal
201;Mapa das fortificações da Ilha de Santa Catarina, 1786;Mapa
202;Liberdade, Liberdade! Abra as asas sobre nós;Letra de música
203;Tropas e Tropeiros;Trecho de livro acadêmico
204;O modo meeiro (canção de rosário);Texto literário
205;Processo administrativo Ibero-americano;Trecho de texto acadêmico
206;500º aniversário do descobrimento;Tirinha
207;O domínio das roupas;Trecho de artigo de revista
208;Geographia politica;Charge
209;Sibéria brasileira;Artigo de revista
210;Relação do português anônimo;Relato de viajante
211;A Primeira Guerra Mundial;Trecho de livro acadêmico
212;Batalha dos Guararapes (Victor Meirelles);Pintura
213;História da Indústria e do Trabalho no Brasil;Trecho de livro acadêmico
214;Serro Frio;Pintura
215;Capa do Jesuino Brilhante;Gravura
216;Cordel: Jesuino Brilhante, 2009;Trecho de texto literário
217;A ditadura civil-militar (texto completo);Artigo de jornal
218;Basta pedir Modess;Propaganda
219;Alvará de D. Maria I;Documento legal
220;História da missão dos padres capuchinhos na ilha do Maranhão;Relato de viajante
221;Anúncio de fuga de escravo;Anúncio de jornal
222;O diabo do feitiço;Artigo de revista
223;O bom museu;Artigo de jornal
224;Alunos da escola Darci Vargas;Fotografia
225;Cartaz com imagem de Getúlio Vargas;Cartaz
226;História do descobrimento e conquista da India pelos portugueses;Crônica
227;Pontos de Jongo;Letra de música
228;Sobre o Jongo;Trecho de texto acadêmico
229;Capitães de Areia - O Trapiche;Trecho de texto literário
230;Carte d l’Atlantique (1550);Mapa
231;Inundação da Várzea do Carmo (1892);Fotografia/Documento
232;Propaganda (Década de 1980);Propaganda
233;Mostra do Redescobrimento é inaugurada em SP;Artigo de jornal
234;Manto Tupinambá;Fotografia
235;Brasileiro!;Panfleto
236;Confissões da Bahia;Trecho de processo
237;Manifesto Mangue Beat;Trecho de manifesto
238;Proteja-se deste plano verão;Cartaz
239;Rapsodia verde;Trecho de artigo acadêmico
240;Gazeta de notícias de 14 de novembro de 1904;Trecho de notícia de jornal
241;Epopéia Rio-grandense, Missioneira e Farroupilha;Painel de azulejos
242;Sessão do Conselho do Estado, 1922;Pintura
243;Sobre a Pororoca, 1767;Trecho de carta
244;Sobre uma doença infantil da historiografia;Trecho de artigo de jornal
245;A história, o índio e o livro didático;Trecho de livro acadêmico
246;Brincadeira com ossos;Fotografia
247;Politicamente incorreto não é transgressor...;Texto de blog
248;Carta aberta aos humoristas do Brasil...;Texto de blog
249;História da música ocidental;Texto didático
250;A obra de Carlos Gomes no contexto da transição monarquia/república;Texto acadêmico
251;A força indômita;Imagem/obra artística
252;Exposição “Curitiba Anos 50”;Notícia
253;Lei nº 2.040, de 28 de setembro de 1871;Documento legal
254;Entrevista de José Carlos Capinan;Entrevista
255;Soy loco por ti, América;Letra de música
256;A Cigarra;Propaganda em revista
257;Do espetáculo da natureza à natureza do espetáculo;Texto historiográfico
258;Visão do jogo;Trecho de livro
259;Frontispício;Imagem de livro
260;Vidas Secas;Trecho de romance
261;Feliz Ano Velho;Trecho de livro/autobiografia
262;Lista de pertences de Rubens Beyrodt Paiva;Documento oficial/listagem
263;Revista Illustrada, fevereiro de 1893;Imagem de revista/charge
264;Aspectos históricos da divulgação científica no Brasil;Texto historiográfico
265;A primeira escola;Artigo/jornal
266;Partida da Monção, 1897;Pintura/obra artística
267;Tropa diferente;Texto de viajante/artigo histórico
268;O último Bragança e o primeiro Silva;Crônica
269;Tratado Descritivo do Brasil;Documento histórico/livro
270;Memórias de um colono no Brasil;Memórias/relato autobiográfico
271;Gravura: “Frontispício” de História Natural do Brasil, 1648;Gravura
272;Mudança de acampamento da construção da linha de São Francisco;Fotografia
273;Capa do LP Tropicália ou Panis et Circenses, 1968;Capa de disco
274;Samba, Di Cavalcanti, 1925;Pintura/obra artística
275;Incêndio em apartamento de colecionador destrói Di Cavalcanti;Notícia/jornal
276;Os lugares de memória dos Mucker;Texto historiográfico/artigo
277;Por mares nunca dantes cartografados;Texto historiográfico
278;Escravos e senhores nos engenhos do Brasil;Texto historiográfico
279;O Correio de Victoria, 1849;Jornal/documento de época
280;Projeto da Rua Juscelino Kubitschek;Croqui/projeto urbanístico
281;Projeto da Praça dos Girassóis;Croqui/projeto urbanístico
282;O cozinheiro nacional, 1860–1870;Livro de receitas/documento histórico
283;Cuitelinho;Canção/música popular
284;Gênero e Artefato;Texto/manual
285;“Amadeu Amaral”, Revista Feminina, dez. 1919;Fotografia/revista
286;Carta do arcebispo Domingos Sertão Mafrense, 1702;Carta/documento epistolar
287;Redenção de Cam, Modesto Brocos y Gómez, 1895;Pintura/obra artística
288;A matadeira (Canção);Canção
289;A matadeira (Documentário);Documentário
290;A vitória da colonização açoriana em Santa Catarina;Texto historiográfico
291;Tempora Mutantur, Pedro Weingärtner, 1889;Pintura/obra artística
292;Carta de Pedro Weingärtner;Carta/documento epistolar
293;Hamilton dos Santos... profissão Cidadão;Conto/texto literário
294;Missão Salesiana;Fotografia/documento visual
295;A greve geral de 1917 em São Paulo e a imigração italiana;Texto historiográfico
296;Divisão Político-Administrativa do Brasil, 1943;Mapa/documento cartográfico
297;Lei nº 2.040, de 28 de setembro de 1871 – Trecho II;Lei/documento jurídico
298;Visões da liberdade, Sidney Chalhoub;Livro/texto historiográfico
299;A poesia transcendente de Parnaso de além-túmulo;Texto historiográfico/artigo
300;O diabo na livraria dos inconfidentes;Texto historiográfico
301;Boatos sobre os inconfidentes mineiros, 1789;Documento de época
302;Azevedinho e seus problemas;Artigo historiográfico
303;Revista Illustrada, suplemento ed. 189, jan 1880 – Parte 1;Revista ilustrada
304;Revista Illustrada, suplemento ed. 189, jan 1880 – Parte 2;Revista ilustrada
305;Pesadelo, 1972;Canção
306;Sambaqui Morro do Peralta;Imagem arqueológica
307;Formidável contágio;Trecho de documento histórico
308;O dragão e a cidade: lendas do Ceará;Artigo acadêmico
309;A República, 24 de abril de 1902;Trecho de jornal
310;O Rio de Janeiro como é: 1824–1826 (Huma vez e nunca mais);Relato de viajante
311;Comer, Beber, Governar;Artigo historiográfico
312;É proibido Dobrar à Esquerda, Rubens Gerchman, 1965;Obra de arte
313;História com “h” minúsculo;Artigo jornalístico
314;Relatório de torturas de Inês Etienne (O Pasquim);Relatório
315;Contributos da Nova História Política...;Artigo acadêmico
316;"Pintura ""Arrufos"" e texto do Diário Illustrado (1887)";Pintura
317;"Romance ""Robinson Crusoé"" (1719)";Literatura
318;Natureza, cultura e política...;Texto
319;Escravos e assalariados na antiga pesca da baleia;Texto
320;Charge de Rubens Felix (2007);Charge
321;Sonhos Guaranis (1982);Letra de canção
322;Testamento de Bartolomeu da Cunha Gago;Documento
323;"HQ: ""Graúna"", de Henfil";HQ
324;A recuperação da Bahia de Todos os Santos, 1634;Pintura
325;Charge: “Empréstimo Inglês”, Vida Fluminense, 1875;Charge
326;Passeata, Fotografia, 1968;Fotografia
327;Folha de S. Paulo (26/08/1992 e 18/06/2013);Artigo de jornal
328;O bêbado e a equilibrista (1979);Canção
329;Operários, de Carlos da Silva Prado;Gravura
330;A Questão do Rio Pirara (1829-1904);Texto
331;Dicionários: Laudelino Freire, El-Khatib e Houaiss;Dicionário
332;Trecho do Diário Oficial (09/07/1999);Documento oficial
333;Carta Particular (1835);Documento
334;Discurso de posse na Sociedade de Geografia do RJ;Discurso
335;A visão dos holandeses (Benedito Calixto, 1927);Pintura
336;Tanto Mar (versões 1975 e 1978);Letra de música
337;Azulejo colonial... / Grande panorama de Lisboa;Texto/Obra
338;Detalhe: Painel de Portinari;Obra de arte
339;Obra de Adriana Varejão;Obra de arte
340;A dramática realidade das estatísticas (O Cruzeiro, 1958);Documento
341;O Tempo e o Vento - O Continente (1949);Trecho de literatura
342;Presidentes no Avião Presidencial (2013);Fotografia
343;Decreto-Lei nº 1.077 (26/01/1970);Documento legal
344;Annaes da Assembleia Legislativa do Grão-Pará (1871);Documento oficial
345;"Prancha botânica: ""Chaetogastra repanda"" (1829)";Ilustração científica
346;"Poema: ""Congresso Internacional do Medo""";Literatura
347;Foto e depoimento de Lenalda Campos Duboc;Depoimento
348;A mulher sergipana...;Texto
349;"Cartas: ""Os meus romanos"" (Ina von Binzer)";Carta
350;Tupis, tapuias e historiadores (John Manuel Monteiro);Texto acadêmico
351;Cena de Rua (patrão e escravo);Aquarela
352;Barulhinho Bom;Texto
353;Fandango Caiçara;Documento
354;Instruções para a Polícia do Theatro de São Pedro de Alcantara;Documento
355;Monumento aos Garimpeiros;Monumento
356;Roraima, Terra Bendita;Cordel
357;Carta Geografica da Capitania do Piauhi;Mapa
358;Oeyras do Piauhi;Mapa
359;Talão de Greves;Documento
360;Carta de Calfat ao delegado;Documento
361;Histórias de Santa Cruz (Gândavo);Literatura/Relato
362;Principio e origem dos indios;Relato
363;Diretório dos Índios;Documento
364;Por ser menina - Distribuição das Tarefas;Texto
365;Negro Drama (Racionais MC's);Música
366;Ser especial (Crônica sobre dinheiro e status);Texto
367;A Primeira Missa no Brasil (1860);Quadro
368;Descobrimento do Brasil (1936);Fotograma
369;Amazonas pede desculpas aos japoneses por abusos na 2ª Guerra;Reportagem
370;Emenda Popular PE00086-5 (Constituinte 1987);Documento
371;Escravo de Saladeiro;Música
372;Canibais de Theodore de Bry (1593);Gravura
373;"Jornal ""A Lucta"" (Sobral, CE, 1914) - Os fanáticos de Paraná";Matéria de Jornal
374;Memórias de um Sargento de Milícias (1852);Trecho de Literatura
375;O arsenal da macumba (Museu da Polícia do RJ);Texto
376;"Jornal ""A Manhã"" (09/08/1935 e 17/09/1935)";Jornal
377;Atlas dos Mares (França, 1538);Pergaminho
378;Festa de Oxalufan (Carybé, 1980);Iconografia
379;Paraisópolis (fotografia de Tuca Vieira, c.2002);Fotografia
380;Nordeste Independente ou Imagine o Brasil;Música
381;Telegrama Recebido – Departamento de Estado;Documento
382;Semana Ilustrada nº 05 e 35 (1861);Imagem
383;Futebol é coisa para macho?;Texto
384;Terra Sonâmbula (Mia Couto);Livro
385;Pecus e Pecúnia discutem a divisão (1978);Pintura
386;Um sepulcro grande, amplo e fundo;Texto
387;Saudade (1899);Pintura
388;“Aderir”, “jurar” e 'aclamar”;Texto
389;Fotos de Benjamin Abrahão Botto (1936);Fotografia
390;As coletividades anormais;Livro
391;Cartilha: Trabalho escravo: vamos abolir;Cartilha
392;Repressão e mudanças...;Texto
393;"Charge da Revista ""Careta"" (1925)";Charge
394;Frete (Renato Teixeira);Música
395;Charge: Folha de S. Paulo, 05 de março de 1986;Charge
396;Pinturas: Terceira Vítima, Rua 57, Césio (1987);Pinturas
397;Pesquisa sobre interesse vocacional (IBOPE);Documento
398;Navegação de Cabotagem (Jorge Amado);Livro
399;Carta de Lei de 16 de Dezembro de 1815;Documento
400;Candangos (Foto);Fotografia
401;Dois Guerreiros (Bruno Giorgi);Monumento
402;Charge: Figaro, 15 de janeiro de 1876;Charge
403;Auto de perguntas (1874);Documento
404;Maria Bethânia - a menina dos olhos de Oyá;Samba-enredo
405;"HQ ""Estórias Gerais"" (Srbek e Colin)";HQ
406;Texto historiográfico sobre a seca de 1915;Texto historiográfico
407;Relatos de Thevet;Relato de viajante
408;Fotografia de pichação em Brasília;Fotografia
409;Telegrama diplomático dos EUA (Ed. 8);Documento
410;Texto opinativo e fotografias de 2015;Texto/Foto
411;Fotografia dos pertences do bebê Vitor;Fotografia
412;Questionário da 8ª ONHB;Documento
413;"""Bichas"" (anúncios)";Anúncio de jornal
414;Guia Médico de Chernoviz (1841);Livro
415;Carta Régia de 4 de dezembro de 1816;Documento legal
416;"Pintura ""Os invasores"" (1936)";Pintura
417;"Jornal ""Correio do Natal"" (30/09/1883)";Jornal
418;Boletim Colégio Stafford;Documento escolar
419;Voto feminino e feminismo (Diva Nolf Nazario, 1922);Texto
420;"Conto ""Negrinha""";Literatura
421;Bando de 24 de março de 1774;Documento
422;"Música ""Abrigo de vagabundos""";Música
423;"Poema ""A implosão da mentira""";Literatura
424;Planta de Restituição da Bahia, João Teixeira Albernaz, 1631;Mapa
425;Pintura: “Batalha do Avaí”, Pedro Américo, déc. 1870;Pintura
426;Missa campal celebrada pela abolição da escravatura, 1888;Fotografia
427;Diálogos das grandezas do Brasil (1618);Literatura/Relato
428;"Charges da revista ""A Galleria Illustrada"" (1888)";Charge
429;Autos de Inventário (1759);Documento
430;"Documentos sobre a peça ""Tudo Preto"" (1926)";Documento
431;"Texto ""As pistas do monarca do Congo""";Texto
432;Decreto de 6 de junho de 1818;Documento legal
433;"Notícia ""O Imparcial"" e foto no Museu Nacional";Notícia/Foto
434;Entrevista no Jornal da Unicamp (2013);Entrevista
435;Lembranças de E-9;Relato
436;Lei de 1949;Documento legal
437;Depoimentos de Creusa Castro e Antônio Almeida;Depoimento
438;"Trecho de ""Quarto de Despejo"" (1960)";Literatura
439;Alvará de 20 de setembro de 1760;Documento legal
440;"Letra da música ""Canto das três raças""";Música
441;"Informativo sindical ""O Carretel""";Documento
442;"Texto ""Fábulas da modernidade no Acre""";Texto
443;Fotos e texto sobre Pêssankas;Cultura/Imagem
444;Decreto nº 31.469 e notícia de jornal;Documento legal
445;Fotografia de Sebastião Salgado (1997);Fotografia
446;Texto sobre o Aedes e febre amarela;Texto informativo
447;Tweets do Senado Federal (1a e 1b);Documento Digital
448;Texto acadêmico de Eduardo Silva;Texto acadêmico
449;Pintura de Raymundo Cela;Pintura
450;Foto de Albuquerque;Fotografia
451;Texto de Carlos Fioravanti;Texto
452;Dissertação de Fernanda Mara Borba;Texto acadêmico
453;Crônica de João Felipe Betendorf;Crônica
454;Relatos de Anthony Knivet e John Davies;Relato de viajante
455;Fotografias de satélite e locais (9a a 9d);Fotografia
456;Letra de música (Ivan Lins);Letra de música
457;Poema de Renata Pallottini;Literatura
458;Monumento às Bandeiras;Monumento
459;Borba Gato (Estátua);Monumento
460;Estátua do Borba Gato e Monumento às Bandeiras são 'pichados';Notícia
461;Ao invés de pichar, que tal remover as homenagens?;Artigo de opinião
462;Os monumentos às bandeiras - Uma nova perspectiva;Texto
463;A corrida de toras dos Timbira;Texto/Cultura
464;Entrevista de Carmem Portinho;Entrevista
465;Minha Terra e Minha Gente;Literatura/Didático
466;Nossa Patria;Literatura/Didático
467;A prática musical religiosa no Brasil e Portugal (séc. XVIII);Texto acadêmico
468;Missa em Fá Maior - Kyrie;Partitura/Áudio
469;O Vergalho;Documento/Obra
470;Planisfério de Cantino (1502);Mapa
471;Obreias e cartas;Documento
472;Entrevista com Edgar Salvadori De Decca;Entrevista
473;Haiti (Caetano Veloso e Gilberto Gil);Letra de música
474;Bilhete deixado juntamente a um bebê (Roda dos Expostos, 1920);Documento
475;Representação cenográfica (Roda dos Expostos);Fotografia
476;A Árvore da Vida e o Infinito Azul (Gilvan Samico);Xilogravura
477;“Malungu, ngoma vem!” (Robert W. Slenes);Texto acadêmico
478;Decreto-Lei nº 869/1969 (Educação Moral e Cívica);Documento legal
479;Guia de Civismo (1971);Documento
480;Princípios de Educação Moral e Cívica (capa);Manual didático
481;História indígena e o eterno retorno do encontro (Ailton Krenak);Depoimento
482;A Coligay saúda o seu mais novo ídolo (Revista Placar);Fotografia
483;Coligay: apoio incondicional ao Grêmio;Fotografia
484;O paraíso termina quando o trabalho começa (Gazeta Socialista);Entrevista
485;Conheça os brasileiros que salvaram perseguidos pelo nazismo;Jornal eletrônico
486;Extração e preparação de ovos de tartaruga no Rio Amazonas;Relato/Ilustração
487;Painéis “Guerra” e “Paz” (Cândido Portinari);Pintura
488;Capa do LP Phono 73;Capa de disco
489;Guerra dos Memes (Twitter);Meme
490;1º Pavilhão / Vinho sendo fermentado / Fábrica Tito Silva (IPHAN);Fotografia
491;Projeto Henfil – Rascunho;Crônica
492;Rio Roosevelt (1914);Fotografia
493;Honradas e devotas;Texto acadêmico
494;Tem gente com fome;Literatura / Poema
495;Bembé do Mercado (Texto, Depoimento e Foto);Conjunto Documental
496;Capitalismo e colapso ambiental;Texto acadêmico
497;Decreto nº 847, de 11 de outubro de 1890;Documento legal
498;Os systemas penitenciarios do Brasil;Trecho de livro
499;Preto e Amarello;Gravura
500;Lei nº 13.415, de fevereiro de 2017 (LDB);Documento legal
501;Todos juntos;Música
502;A galinha;Música
503;Duas faces de um mito;Revista
504;Lei de 16 de dezembro de 1830;Documento Legal
505;Elixir Doria;Propaganda
506;O Rufar dos Tambores I e II;Fotografias
507;Lei de 15 de outubro de 1827;Documento legal
508;Castigos Lancasterianos, 1829;Manual
509;Relatório Figueiredo;Relatório
510;Apoie a Nova Previdência e garanta a aposentadoria para todos;Propaganda
511;A Carne;Música
512;Projeto revela parte da cidade submersa no Lago Paranoá;Jornal eletrônico
513;Uma cidade encantada;Depoimento
514;Vila Amaury, c.1959;Fotografia
515;Carta fazendo a descripção das innumeras coisas naturais;Carta
516;Do monstro marinho que se matou na Cap. de São Vicente (1564);Desenho
517;Newe Zeytung vom einem seltzamen Meerwunder...;Desenho
518;Monstrum hermaphroditicum pedibus aquilinis;Desenho
519;Prodomo Apologetico;Desenho
520;Marrom Claro;Arte urbana
521;Sem título, Casa do Cactus;Pintura
522;Sem título, 31ª Bienal de São Paulo;Pintura
523;O Sexo Feminino (07/09/1873);Jornal
524;O Sexo Feminino em campanha pela emancipação da mulher;Texto acadêmico
525;Lei de 11 de agosto de 1827;Documento legal
526;Projeto de regulamento para o Curso Jurídico;Estatuto
527;Advogado: doutor por excelência;Artigo eletrônico
528;Fragmentos de história indígena na Amazônia colonial;Texto acadêmico
529;Minha vida de menina;Literatura
530;A cultura dos geoglifos;Texto acadêmico
531;Desenho geométrico em Plácido de Castro / Diversidade de formas;Fotografia
532;O mapa “Descobrimento do rio Amazonas...”, 1639;Mapa
533;Barbeiros ambulantes (Jean Baptiste Debret, 1826);Aquarela
